"Tên hàng hóa, dịch vụ",Đơn giá,Matched_SP,Score
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,65.455,Lăn khử mùi refre trà xanh 40ml,100
Miếng dán giảm đau Danapas,170,Miếng dán giảm đau thảo dược Danapas,100
Mít sấy 200gr,"36.111,11",Mít sấy 200gr(24 gói/thùng),100
Mít sấy 200gr,"36.111,12",Mít sấy 200gr(24 gói/thùng),100
Mít sấy 200gr,36.111,Mít sấy 200gr(24 gói/thùng),100
"Măt nạ dành cho da chân, giúp làm sạch,cung cấp độ ẩm cho da,..LANBENA VITAMIN C FOOT PEEL MASK",42.728,lanbena,100
"Măt nạ dành cho da chân, giúp làm sạch,cung cấp độ ẩm cho da,..LANBENA VITAMIN C FOOT PEEL MASK",42.727,lanbena,100
Mặt nạ BANOBAGI Stem Cell Vitamin Mask Whitening  And Aqua Hydrating,"12.777,78",Mặt Nạ Aqua,100
Mặt nạ cho da tay cung cấp độ ẩm LANBENA HYALURONIC ACID HAND MASK,42.727,lanbena,100
Mặt nạ cho da tay cung cấp độ ẩm LANBENA HYALURONIC ACID HAND MASK,42.728,lanbena,100
"Mặt nạ cho vùng da mắt, giúp dưỡng ẩm LANBENA ALOE VERA HYDRA-GEL EYE PATCHES",115.741,lanbena,100
"Mặt nạ cho vùng da mắt, giúp dưỡng ẩm LANBENA PEPTIDES HYDRA-GEL EYE PATCHES",115.741,lanbena,100
Mặt nạ cung cấp độ ẩm giúp cung cấp độ ẩm cho da LANBENA NOURISHING HAND MASK,42.728,lanbena,100
Mặt nạ cung cấp độ ẩm giúp cung cấp độ ẩm cho da LANBENA NOURISHING HAND MASK,42.727,lanbena,100
Mặt nạ dành cho da chân giúp làm sạch tế bào chết LANBENA COFFEE FOOT PEEL MASK,42.728,lanbena,100
"Mặt nạ dành cho da chân, giúp làm sạch tế bào da chết trên da..LANBENA LAVENDER FOOT PEEL MASK",42.727,lanbena,100
"Mặt nạ dành cho da chân, giúp làm sạch tế bào da chết trên da..LANBENA LAVENDER FOOT PEEL MASK",42.728,lanbena,100
"Mặt nạ dành cho da chân, giúp làm sạch tế bào da chết trên da..LANBENA LAVENDER FOOT PEEL MASK",42.729,lanbena,100
Mặt nạ dành cho da tay giúp cung cấp độ ẩm LANBENA NIACINAMIDE HAND MASK,42.728,lanbena,100
Mặt nạ dành cho da tay giúp cung cấp độ ẩm LANBENA NIACINAMIDE HAND MASK,42.727,lanbena,100
"Mặt nạ dành cho vùng da quanh mắt,.. LANBENA 24K GOLD HYDRA-GEL EYE PATCHES",115.742,lanbena,100
"Mặt nạ dành cho vùng da quanh mắt,.. LANBENA 24K GOLD HYDRA-GEL EYE PATCHES",115.741,lanbena,100
Mặt nạ dưỡng da giúp dưỡng ẩm cho mắt..LANBENA HYDRATING SODIUM HYALURONATE HYDRA-GEL..,115.741,lanbena,100
Mặt nạ dưỡng da giúp dưỡng ẩm mắt LANBENA HYDRATING SODIUM HYALURONATE HYDRA-GEL EYE PATCHES,115.741,lanbena,100
"Mặt nạ dưỡng da vùng quanh mắt, giúp chống nhăn, cải thiện độ đàn hồi LANBENA REJUVENATING RETINOL HYDRA-GEL EYE PATCHES",8.796,lanbena,100
"Mặt nạ dưỡng da vùng quanh mắt, giúp dưỡng ẩm, làm trắng LANBENA ANTIOXIDANT VITAMIN C HYDRA-GEL EYE PATCHES",8.796,lanbena,100
"Mặt nạ dưỡng da vùng xung quanh mắt giúp chống nhăn da, cải thiện độ đàn hồi..LANBENA REJUVENATING RETINOL HYDRA-GEL EYE PATCHES",115.741,lanbena,100
"Mặt nạ dưỡng da vùng xung quanh mắt,..LANBENA ANTIOXIDANT VITAMIN C HYDRA-GEL EYE PATCHES",115.741,lanbena,100
"Mặt nạ dưỡng da vùng xung quanh mắt,..LANBENA ANTIOXIDANT VITAMIN C HYDRA-GEL EYE PATCHES",115.742,lanbena,100
Mặt nạ dưỡng da vùng xung quanh mắt..LANBENA REJUVENATING RETINOL HYDRA-GEL EYE PATCHES,115.741,lanbena,100
Nam châm giấy xoắn,22,nam châm giấy xoắn,100
Nam châm lưu niệm size M,22,nam châm lưu niệm size M ( cai),100
Nhang nụ trầm (30 nụ/hộp),55.8,Thùng 20 hộp nhang nụ trầm hương Gumi 30 nén,100
Nhang nụ trầm (30 nụ/hộp),54.6,Thùng 20 hộp nhang nụ trầm hương Gumi 30 nén,100
Nước hoa Cindy - Golden Luxury (50ml),87.5,CINDY GOLDEN LUXURY 50ML,100
"Nước uống  Kiwi vàng với lô  hội OKF-OKF  gold Kiwi  With Aloe, 500ml/ chai 1 thùng 20 chai","21.818,18",Nước OKF Gold Kiwi 500ml,100
Nước uống Pororo hương vị Chuối,"13.888,88",Pororo,100
Nước uống Pororo hương vị Dâu,"13.888,88",Pororo,100
Nước uống Pororo hương vị Sữa,"13.888,88",Pororo,100
Nước uống Pororo hương vị Trái cây nhiệt đới,"13.888,88",Nước Trái Cây Pororo,100
Nước uống Pororo hương vị Táo,"13.888,88",Pororo,100
